threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
0.06,0.1701863354037267,0.5102639296187683,0.1554993678887484,1.0,0.26914660831509846,0.4793452844894778,0.7200724793171684,0.33436915971887254,14,668,0,123
0.05,0.1639751552795031,0.5065982404692082,0.15452261306532664,1.0,0.2676822633297062,0.47748447204968947,0.7200724793171684,0.33436915971887254,9,673,0,123
0.4,0.7291925465838509,0.6569212979519825,0.2943722943722944,0.5528455284552846,0.384180790960452,0.4702627939142462,0.7200724793171684,0.33436915971887254,519,163,55,68
0.41,0.7304347826086957,0.6476587273204111,0.29017857142857145,0.5284552845528455,0.3746397694524496,0.45391061452513964,0.7200724793171684,0.33436915971887254,523,159,58,65
0.42,0.7440993788819876,0.6490594378084543,0.3014354066985646,0.5121951219512195,0.3795180722891566,0.44935805991440797,0.7200724793171684,0.33436915971887254,536,146,60,63
0.43,0.7552795031055901,0.6523257754571681,0.31313131313131315,0.5040650406504065,0.3862928348909657,0.4492753623188406,0.7200724793171684,0.33436915971887254,546,136,61,62
0.44,0.7664596273291926,0.6522602102853874,0.32432432432432434,0.4878048780487805,0.38961038961038963,0.4431314623338257,0.7200724793171684,0.33436915971887254,557,125,63,60
0.45,0.7739130434782608,0.6466633288033761,0.32947976878612717,0.4634146341463415,0.38513513513513514,0.42857142857142855,0.7200724793171684,0.33436915971887254,566,116,66,57
0.46,0.7739130434782608,0.6300038147009036,0.31901840490797545,0.42276422764227645,0.36363636363636365,0.3969465648854962,0.7200724793171684,0.33436915971887254,571,111,71,52
0.49,0.7937888198757764,0.6250745058770236,0.34306569343065696,0.3821138211382114,0.36153846153846153,0.37360890302066774,0.7200724793171684,0.33436915971887254,592,90,76,47
0.47,0.7763975155279503,0.6181424790787498,0.3137254901960784,0.3902439024390244,0.34782608695652173,0.37209302325581395,0.7200724793171684,0.33436915971887254,577,105,75,48
0.48,0.782608695652174,0.6184762654078154,0.3219178082191781,0.3821138211382114,0.34944237918215615,0.3683385579937304,0.7200724793171684,0.33436915971887254,583,99,76,47
0.5,0.7962732919254658,0.6232088787163531,0.3458646616541353,0.37398373983739835,0.359375,0.368,0.7200724793171684,0.33436915971887254,595,87,77,46
0.51,0.8,0.6220763893855947,0.3515625,0.36585365853658536,0.35856573705179284,0.3629032258064516,0.7200724793171684,0.33436915971887254,599,83,78,45
