sleep_quality_bin,stress_bin,work_hours_bin,duration_bin,count,mean,majority_rate,minority_rate
"(3.5, 4.0]","(6.2, 6.6]","(9.7, 11.1]","(4.98, 5.53]",53,0.18867924528301888,0.8113207547169812,0.18867924528301883
"(6.8, 10.0]","(4.5, 5.0]","(7.4, 8.5]","(6.78, 7.27]",53,0.8113207547169812,0.8113207547169812,0.18867924528301883
"(6.8, 10.0]","(3.7, 4.5]","(6.1, 7.4]","(7.27, 7.92]",120,0.8166666666666667,0.8166666666666667,0.18333333333333335
"(6.8, 10.0]","(4.5, 5.0]","(-0.001, 2.8]","(7.92, 10.5]",77,0.8181818181818182,0.8181818181818182,0.18181818181818177
"(6.8, 10.0]","(3.7, 4.5]","(-0.001, 2.8]","(6.78, 7.27]",61,0.819672131147541,0.819672131147541,0.180327868852459
"(3.5, 4.0]","(5.8, 6.2]","(8.5, 9.7]","(4.98, 5.53]",50,0.18,0.8200000000000001,0.17999999999999994
"(6.8, 10.0]","(3.7, 4.5]","(4.7, 6.1]","(7.27, 7.92]",127,0.8267716535433071,0.8267716535433071,0.17322834645669294
"(3.5, 4.0]","(7.1, 7.7]","(9.7, 11.1]","(5.53, 5.96]",58,0.1724137931034483,0.8275862068965517,0.1724137931034483
"(6.8, 10.0]","(3.7, 4.5]","(4.7, 6.1]","(7.92, 10.5]",101,0.8316831683168316,0.8316831683168316,0.16831683168316836
"(6.8, 10.0]","(4.5, 5.0]","(4.7, 6.1]","(7.92, 10.5]",72,0.8333333333333334,0.8333333333333334,0.16666666666666663
"(2.9, 3.5]","(7.7, 10.0]","(11.1, 18.0]","(5.53, 5.96]",96,0.16666666666666666,0.8333333333333334,0.16666666666666663
"(6.8, 10.0]","(3.7, 4.5]","(2.8, 4.7]","(7.92, 10.5]",174,0.8333333333333334,0.8333333333333334,0.16666666666666663
"(6.2, 6.8]","(5.0, 5.4]","(4.7, 6.1]","(7.27, 7.92]",69,0.8405797101449275,0.8405797101449275,0.1594202898550725
"(6.8, 10.0]","(0.999, 3.7]","(2.8, 4.7]","(6.78, 7.27]",107,0.8411214953271028,0.8411214953271028,0.15887850467289721
"(6.8, 10.0]","(3.7, 4.5]","(2.8, 4.7]","(6.78, 7.27]",63,0.8412698412698413,0.8412698412698413,0.15873015873015872
"(6.8, 10.0]","(4.5, 5.0]","(4.7, 6.1]","(7.27, 7.92]",82,0.8414634146341463,0.8414634146341463,0.1585365853658537
"(3.5, 4.0]","(7.7, 10.0]","(11.1, 18.0]","(5.53, 5.96]",76,0.15789473684210525,0.8421052631578947,0.1578947368421053
"(2.9, 3.5]","(7.1, 7.7]","(11.1, 18.0]","(5.53, 5.96]",83,0.1566265060240964,0.8433734939759037,0.15662650602409633
"(4.0, 4.5]","(6.2, 6.6]","(11.1, 18.0]","(4.98, 5.53]",54,0.14814814814814814,0.8518518518518519,0.14814814814814814
"(3.5, 4.0]","(6.6, 7.1]","(9.7, 11.1]","(4.98, 5.53]",61,0.14754098360655737,0.8524590163934427,0.14754098360655732
"(6.8, 10.0]","(3.7, 4.5]","(2.8, 4.7]","(7.27, 7.92]",150,0.8533333333333334,0.8533333333333334,0.1466666666666666
"(6.8, 10.0]","(0.999, 3.7]","(4.7, 6.1]","(7.27, 7.92]",123,0.8536585365853658,0.8536585365853658,0.14634146341463417
"(6.8, 10.0]","(3.7, 4.5]","(-0.001, 2.8]","(7.92, 10.5]",195,0.8564102564102564,0.8564102564102564,0.14358974358974363
"(4.0, 4.5]","(7.1, 7.7]","(11.1, 18.0]","(5.53, 5.96]",57,0.14035087719298245,0.8596491228070176,0.14035087719298245
"(3.5, 4.0]","(5.8, 6.2]","(7.4, 8.5]","(4.98, 5.53]",50,0.14,0.86,0.14
"(6.8, 10.0]","(0.999, 3.7]","(4.7, 6.1]","(7.92, 10.5]",130,0.8615384615384616,0.8615384615384616,0.1384615384615384
"(4.5, 4.9]","(6.2, 6.6]","(11.1, 18.0]","(4.98, 5.53]",53,0.1320754716981132,0.8679245283018868,0.13207547169811318
"(6.8, 10.0]","(4.5, 5.0]","(-0.001, 2.8]","(7.27, 7.92]",61,0.8688524590163934,0.8688524590163934,0.1311475409836066
"(6.2, 6.8]","(0.999, 3.7]","(4.7, 6.1]","(7.92, 10.5]",62,0.8709677419354839,0.8709677419354839,0.12903225806451613
"(6.8, 10.0]","(4.5, 5.0]","(4.7, 6.1]","(6.78, 7.27]",55,0.8727272727272727,0.8727272727272727,0.12727272727272732
"(6.8, 10.0]","(0.999, 3.7]","(2.8, 4.7]","(7.92, 10.5]",362,0.8729281767955801,0.8729281767955801,0.1270718232044199
"(6.8, 10.0]","(3.7, 4.5]","(-0.001, 2.8]","(7.27, 7.92]",136,0.875,0.875,0.125
"(6.8, 10.0]","(0.999, 3.7]","(2.8, 4.7]","(7.27, 7.92]",313,0.8753993610223643,0.8753993610223643,0.12460063897763574
"(6.8, 10.0]","(0.999, 3.7]","(-0.001, 2.8]","(6.78, 7.27]",306,0.8758169934640523,0.8758169934640523,0.12418300653594772
"(3.5, 4.0]","(6.6, 7.1]","(11.1, 18.0]","(4.98, 5.53]",82,0.12195121951219512,0.8780487804878049,0.12195121951219512
"(6.8, 10.0]","(4.5, 5.0]","(2.8, 4.7]","(7.92, 10.5]",91,0.8791208791208791,0.8791208791208791,0.1208791208791209
"(3.5, 4.0]","(6.2, 6.6]","(8.5, 9.7]","(4.98, 5.53]",51,0.11764705882352941,0.8823529411764706,0.11764705882352944
"(2.9, 3.5]","(6.6, 7.1]","(8.5, 9.7]","(5.53, 5.96]",53,0.11320754716981132,0.8867924528301887,0.1132075471698113
"(6.8, 10.0]","(4.5, 5.0]","(7.4, 8.5]","(7.27, 7.92]",54,0.8888888888888888,0.8888888888888888,0.11111111111111116
"(6.8, 10.0]","(0.999, 3.7]","(-0.001, 2.8]","(7.92, 10.5]",1731,0.8913922588099364,0.8913922588099364,0.10860774119006356
"(3.5, 4.0]","(6.2, 6.6]","(11.1, 18.0]","(4.98, 5.53]",67,0.1044776119402985,0.8955223880597015,0.10447761194029848
"(6.8, 10.0]","(0.999, 3.7]","(-0.001, 2.8]","(7.27, 7.92]",738,0.8956639566395664,0.8956639566395664,0.10433604336043356
"(6.8, 10.0]","(0.999, 3.7]","(7.4, 8.5]","(7.27, 7.92]",58,0.896551724137931,0.896551724137931,0.10344827586206895
